lecture,slide_id,slide_json,has_text,models_count,concepts_total,concepts_not_in_text,triples_total,triples_with_image_modality,triple_entities_not_in_text,img_modality_rate,not_in_text_rate,image_heavy_score
Lecture 19,Slide50,Lecture 19\Slide50.json,1,5,3,0,2,2,0,1.0,0.0,0.7
Lecture 23,Slide30,Lecture 23\Slide30.json,1,5,8,0,2,2,0,1.0,0.0,0.7
Lecture 23,Slide34,Lecture 23\Slide34.json,1,5,4,0,2,2,0,1.0,0.0,0.7
Lecture 3,Slide33,Lecture 3\Slide33.json,1,5,16,0,2,2,0,1.0,0.0,0.7
Lecture 4,Slide47,Lecture 4\Slide47.json,1,5,17,0,2,2,0,1.0,0.0,0.7
Lecture 6,Slide16,Lecture 6\Slide16.json,1,5,3,0,2,2,0,1.0,0.0,0.7
Lecture 8,Slide13,Lecture 8\Slide13.json,1,5,17,0,2,2,0,1.0,0.0,0.7
Lecture 10,Slide40,Lecture 10\Slide40.json,1,5,3,0,1,1,0,1.0,0.0,0.7
Lecture 12,Slide36,Lecture 12\Slide36.json,1,5,11,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide20,Lecture 13\Slide20.json,1,5,11,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide36,Lecture 13\Slide36.json,1,5,10,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide40,Lecture 13\Slide40.json,1,5,16,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide44,Lecture 13\Slide44.json,1,5,9,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide45,Lecture 13\Slide45.json,1,5,15,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide47,Lecture 13\Slide47.json,1,5,6,0,1,1,0,1.0,0.0,0.7
Lecture 13,Slide7,Lecture 13\Slide7.json,1,5,3,0,1,1,0,1.0,0.0,0.7
Lecture 15,Slide27,Lecture 15\Slide27.json,1,5,15,0,1,1,0,1.0,0.0,0.7
Lecture 17,Slide23,Lecture 17\Slide23.json,1,5,4,0,1,1,0,1.0,0.0,0.7
Lecture 19,Slide15,Lecture 19\Slide15.json,1,5,8,0,1,1,0,1.0,0.0,0.7
Lecture 19,Slide18,Lecture 19\Slide18.json,1,5,12,0,1,1,0,1.0,0.0,0.7
Lecture 19,Slide39,Lecture 19\Slide39.json,1,5,3,0,1,1,0,1.0,0.0,0.7
Lecture 19,Slide47,Lecture 19\Slide47.json,1,5,3,0,1,1,0,1.0,0.0,0.7
Lecture 23,Slide22,Lecture 23\Slide22.json,1,5,9,0,1,1,0,1.0,0.0,0.7
Lecture 3,Slide21,Lecture 3\Slide21.json,1,5,21,0,1,1,0,1.0,0.0,0.7
Lecture 3,Slide38,Lecture 3\Slide38.json,1,5,17,0,1,1,0,1.0,0.0,0.7
Lecture 5,Slide23,Lecture 5\Slide23.json,1,5,10,0,1,1,0,1.0,0.0,0.7
