lecture,slide_id,triples_total,ocr_evidenced_triples_total,ocr_evidenced_rate
Lecture 14,Slide25,4,0,0.000000
Lecture 14,Slide31,4,0,0.000000
Lecture 14,Slide37,4,0,0.000000
Lecture 14,Slide41,4,0,0.000000
Lecture 14,Slide44,4,0,0.000000
Lecture 14,Slide46,4,0,0.000000
Lecture 15,Slide2,4,0,0.000000
Lecture 15,Slide21,4,0,0.000000
Lecture 15,Slide28,4,0,0.000000
Lecture 16,Slide10,4,0,0.000000
Lecture 16,Slide11,4,0,0.000000
Lecture 16,Slide38,4,0,0.000000
Lecture 16,Slide39,4,0,0.000000
Lecture 16,Slide44,4,0,0.000000
Lecture 16,Slide50,4,0,0.000000
Lecture 16,Slide52,4,0,0.000000
Lecture 16,Slide53,4,0,0.000000
Lecture 17,Slide1,4,0,0.000000
Lecture 17,Slide2,4,0,0.000000
Lecture 17,Slide29,4,0,0.000000
Lecture 17,Slide32,4,0,0.000000
Lecture 17,Slide39,4,0,0.000000
Lecture 17,Slide4,4,0,0.000000
Lecture 17,Slide44,4,0,0.000000
Lecture 17,Slide45,4,0,0.000000
Lecture 18,Slide12,4,0,0.000000
Lecture 18,Slide3,4,0,0.000000
Lecture 18,Slide30,4,0,0.000000
Lecture 18,Slide4,4,0,0.000000
Lecture 18,Slide43,4,0,0.000000
Lecture 18,Slide44,4,0,0.000000
Lecture 18,Slide47,4,0,0.000000
Lecture 18,Slide51,4,0,0.000000
Lecture 18,Slide6,4,0,0.000000
Lecture 19,Slide16,4,0,0.000000
Lecture 2,Slide1,4,0,0.000000
Lecture 2,Slide25,4,0,0.000000
Lecture 2,Slide29,4,0,0.000000
Lecture 2,Slide33,4,0,0.000000
Lecture 2,Slide36,4,0,0.000000
Lecture 20,Slide12,4,0,0.000000
Lecture 20,Slide26,4,0,0.000000
Lecture 20,Slide29,4,0,0.000000
Lecture 20,Slide32,4,0,0.000000
Lecture 20,Slide37,4,0,0.000000
Lecture 20,Slide9,4,0,0.000000
Lecture 21,Slide16,4,0,0.000000
Lecture 21,Slide18,4,0,0.000000
